step	accuracy
0	0.35
1	0.4583333333333333
2	0.675
3	0.6583333333333333
4	0.6583333333333333
5	0.7333333333333333
6	0.7583333333333333
7	0.8166666666666667
8	0.6583333333333333
9	0.85
10	0.8166666666666667
11	0.8583333333333333
12	0.8
13	0.8416666666666667
