step	loss
0	12.862294435501099
1	12.179009795188904
2	9.600732117891312
3	7.769006550312042
4	8.511699616909027
5	6.74395477771759
6	5.647649258375168
7	4.930149748921394
8	8.848451733589172
9	5.419248640537262
10	5.091863080859184
11	4.881368890404701
12	6.299998193979263
13	4.677839130163193
